Question,Model_Response
Why do you believe you are fit to be the next leader of the United States of America?,"I dont think either one of us would be sitting here tonight if there werent something wrong with  with the nation. And Im not sitting here to give you a list of grievances. Im here to tell you that our nation can be better, and I know how to do it. The country may be becoming frustrated with politicians. That might be good in modernizing the system and in  reforming our government. But dont confuse cynicism with the nation with doubt as to this. The people of this country have to make one of the most important decisions they ever had to make in a long time. And you can compare this my short-cuts with their shortcuts. And I hope that, in doing that, Ive earned your confidence. Its a long, long way to the Oval Office, but I think Im halfway there. And I think Ive earned your confidence, and I think theres going to be, in the Spirit of `76, a great tomorrow. Ive heard `em say, `Give the other guy a chance. Well, hes had his chance, and hes failing the test."
What is your overarching vision for the country?,"Well, the first thing is I believe in America. I go around the nation and I see the American spirit, I see people who work hard, I see technical achievement, I see industries leading the world. I see our educational institutions doing marvelous things. Im not cynical. Its just that weve had some glitches. We had six years of a Republican administration before I came into this office. Weve had three years of Democratic administration since Ive been here. But what we have to do, in my judgment, is to get the nation united once again as we did in the early days when I first became in office after Watergate, after Vietnam. We got the congress, the presidency, the business community labor working together. We set some goals; we proved we could set some goals; we proved we could reach them. We proved we could build up a spirit of confidence in ourselves. Thats the major problem that we have. Whether its a drought, whether its a poor agriculture year, whether its a inflationary year, or whether its a time of depressionwe can set a target, we can reach it. This is a great nation. We control our own destiny. The philosophy I have is the one Ive exercised in office: its to be open, its to let everybody in let the American people be the judge. I put my own record up against my predecessors any time. Im open to let the people look at that record, to learn, and then to decide whos best qualified to lead the nation for the next four years."
What is your plan to manage inflation and ensure economic stability?,"Inflation, as we all know, is caused ultimately by an imbalance between the demand for goods and services and the supply of goods and services. When you have too many dollars in the hands of the people competing for goods that dont exist or for goods that are scarce, the prices go up, and you have inflation. The best antidote to inflation is a steady, continuing, healthy growing economy. When were able to provide jobs for people, were able to supply goods and services  cars, refrigerators, washing machines, houses, neighborhood shopping centers, employment opportunities  to meet the demands of people, then we have a slowing down of inflation. This administration has followed a policy of prayer and hope. Weve had a massive infusion of dollars into the economy through the budget deficits, through tax benefits for the wealthy, and a commitment to increase the cost to government for housing and for student loans and for other programs, which has only put more money into the hands of people competing for goods that dont exist. Secondly, theres been an exorbitant rise in the cost of energy. This administration has given the oil companies a tax break equal to $26 for every barrel of oil they produce. Thats equivalent to a Ford Pinto in every garage in this country  a profit to the oil companies whose profits have gone up 90 percent in the last 2 years. And thirdly, this administration has been committed to a monetary policy approach, which ironically is similar in some respects to President Carters. When interest rates are allowed to rise  indexed interest rates, for instance,  in a very steep and sudden way, people tend to pull back and wait until the interest rates settle down before they make major purchases. A lot of what this administration has done has caused inflation to go up, and we can replace that with a sound, steady, continuing policy which insists on strong economic growth. Thats my commitment."
How will you create jobs and reduce unemployment across the nation?,"I believe that this forty-one percent unemployment rate among teenagers is a disgrace. I dont want to spend all my political life running around saying, Oh, look how good were doing. I want it to Continue."
What steps will you take to balance the federal budget and manage the national debt?,"I have set a target for us to balance the federal budget  an achievable target of 1990. I dont believe Gov. Reagans budget next year will put it off by two years, and despite what he says, will balance the budget. He had a similar tax reform effort last year. Hes going to have more revenue from the tax reform than he says and still no tax reform. I want to make this schedule, and well take a comprehensive program to do it, increasing revenues preferably through a growing economy at least modestly, across-the-board spending cuts without crippling social programs, and reexaming our military position. We will have defense and security, but we have staffing levels in the Pentagon and in Europe that all the analysts say are unnecessary. We will be responsible in the way we achieve a balanced budget, but we will certainly do it. And also Gov. Reagan says that we might not have to balance the budget every year to achieve citizenship in the world financial community. That might be true. But on a good year, were probably not going to grow 5 or 6 percent a year. And if we have a good year, even if we have a moderate growth program like I call for, we probably will have to balance the budget almost every year to get that growth. And we also have this terrible deficit crisis, this debt burden caused by Gov. Reagans policies. Weve got to achieve a more secure, stable international monetary position by getting rid of the trade and budget deficits. And you wont do that without a balanced budget. And also weve got to find a way to stabilize the dollar around the world. Governor Reagan has resisted desperately a program that at least on a voluntary basis makes our huge creditor nations join with us to stabilize our debt. We ought to do that. That ought to be done. It can be done. Also hes not called for a 25 percent reduction in real interest rates. These very high interest rates are a direct result of the deficit burden imposed by Governor Reagans policies. And we need stronger economic growth. We had three and 4 percent growth rates in 82 and 83 very weak. "
How will you ensure that all Americans have access to quality and affordable healthcare?,"Well, let me clarify that. I believe that we should provide health care to every single American in this country at a cost we can afford. Under our approach, any American who wanted to purchase catastrophic health service  insurance could do so, and it would be at a very affordable cost, approximately $25 a month for a family. And all Americans would be covered for all necessary costs in hospital care, outpatient care, doctors fees, and so forth. This is a major commitment of our administration, and Im sure that itll pass in the next Congress. We must see that every American, in emergencies or disasters, is covered for excessive health care costs. That, to me, is a basic commitment of our government."
How will your administration address the pressing challenges of environmental sustainability?,"I think the two highest commitments that a new President  like president does  are uh- jobs and our environment. Uh- with uh- uh-  inflation having gone down so dramatically and uh- our- our economy recovering uh- weve got le- less then three weeks to  well be at uh- normal or full employment jobs by  thats 93 million jobs  well be going to 93 million jobs thats only 4 million new jobs. Uh- 93 million jobs between now and the end of my term in 1980, if Im reelected, will only have 4 million uh- 4% inflation and an-n-not 7, 8, 9% inflation. Thats  a re- real two million increase in jobs accomplish between now and then. Even with 93 million jobs we could map an-out the unemployment levels by sex, by age, uh- by race, and by  by section of-the nation. Uh- and uh- club the uh- uh-  people that are d-disabled or in minorities or the uh-  people south of the Mason-Dixon line  uh- with a more complete volume of construction, small business, and so forth and so on. And we can focus on those areas with attack-and this might be a 1% extra uh- uh- area where wh- our unemployment levels might get moveted so could be a 3% 3.5% minimal unemployment rate, our- out in the far spaced uh-  while the urban centers will have approximately  uh- the- the level of unemployment now, wh- which we re- we should have a- a- kind of a stimulation of uh- demand  that would put teach-the back uh- to education, the handicap, the blind, the  and so forth uh- to a  shorter work week. An-  and then after that  after wed reached our maximum uh- level of employment like that, our uh- programs, I think, now across the board have been uh- successful as well as with the uh-  energy program which  which is shiftin  now bringing about exportation of coal instead of importation of coal and uh- beginning to drill more uh- oil and pump more oil up from the existing wells, I think well have a reason uh- to- to- to expect a very balanced uh- growth  with no undue inflation or excessive uh- consumer demand  that might raise prices. I think at that point we can approach the uh-  employment level with uh-wh- wh- what we can wha- what we can avoid is wh- uh- that-  that strange things in the economy, like a uh- uh- frustration that might grow up by uh- expanding our economy too fast where we might have rising uh- prices. I think we can avoid that  tho-  to a minimum without excessive  inflation by doing it that way  also. And uh- I  I know that we have uh- uh- not isolated the number of jobs, going on a- on an  export in our employment uh- policy. But I think the most important thing uh- that we-  got to do right now  in addition to that is to m-make sure that we have a acc a- acc progressive economic policy  that will uh-  keep a- a stable  economy, with no undue inflation added on  so that we dont have destruction uh- that uh- that we a- would have uh- of  of the environment.  Now with the environment, theres at least 3 or 4 important points.  No administration in the environmental program has done better than mine  and I think thats correct.  The clean air act has been revised for the second year  and it  has passed easily in both The House of Representatives and also the senate. Both uh-  Mrs. Granholm, the uh- chairperson of uh- the environmental uh- committee has  has been helpful to the  to the administration also. Uh- the- the clean water uh- s- system has been one that weve pushed  with strong uh-  support from the Congress and the  in both the republican and Democratic parties uh- for studies of the j- technological, the studies uh- capable of bringing uh- non uh-  pollution a- a- a- a- ativo uh- opportunities for our  fo- for our factories and so forth now, our  our- our- our- our-  ships  uh- to  to- to rach that uh- technical goal  and well be working even  even closer with  with that labor management understanding of the  of  of the technics there, the  of  of uh- uh- uh- ef- effective uh- procedures and  and persons, uh- then weve got a- probably 10 years to reach the ultimate there in that respect. Uh- weve had some uh  additional environmental uh- policies recommended by my commission on- on- on uh  was it environmental matters and problems  but their recommendations implementation  in at least wh- two or three uh- concrete and effective ways. Uh- well continue to do that now with the- with a real effort in the- in the- in the- in the  in the- in the- in the  environment. I  I guess that wha- I- I consider th  probably th  most important uh-  m-3, 3 or 4 important areas that is raw materials  ex- exportation o-of uh- minerals uh- that now uh-  we-  a- a complete control we feel  now that we are the only uh- nation of uh- uh-  the world  most advanced industrialized na- nations  that have f- finished that-  the- the  the mineral resources need basic industries there. I was down in Tennessee  couple - couple weeks ago at-  with j- with Alcoa pollen aluminum  and they making uh- added uh- technological procedures now. Its been  uh- two smelting plants wh- where they reach a- a- a reduced  l- l- l-l-l-l-  l- l- l  l- l- l- l-  l- l- lt-  l- l  efficiency uh-  to do that. They recover the alum- uh- from the  from the u- uh-  ore uh- even wh- when the- when it- its a- at a  greater uh- efficiency before smelting, beca- cause they can s-smelt in a  much lower temperature. This is an- an example of- of- of- of uh  f- uh- f- very uh productive uh  communications between labor management  the government, and us now  and us wh- with- with the l-  particular fo- goal there. Uh- that kind of thing I think could b- b- b- b  b- b-  could be emanated uh- at- at a great  future in the next uh- 3 or 4 or 5 years. Theres a lot more emphasis placed on uh- uh- r  research grants uh- productive uh- a- procedures uh-  methods  so that uh- we can keep our- our- our- our minerals  but do so in a-  in a- in a pro-peac-  profit-wise  3ore and fair way. This- this means, for instance, that we still got a- al- aluminum uh- uh- t- target that o- that our uh-  procedures will have a l- l- l  lower uh  achieving uh  profits uh- at a greater  and a greater efficiency of increased uh- uh  s-smelting. This  we still target uh- to b- bring  al- aluminum  a- 4 a- 4 4 an- a- an  and a-  and 4 uh four dollars  a- an 4- 4 uh uh a l- la- low l-l-p-po- produ-  p- producing a- a- a- a- a- 4 dollar p- per ton-  per ton of plants smelting  in other mm  and wo- wo- wo- wh- it- it w-  would be uh 6, for instance uh- sh-sh- so ah- we- we keep with that  and by a complete minimization of- of w- waste uh-  concealed uh- lines uh  l-  i- a  4  4 conception  con- congruity ag- against- again uh- our- our- our  uh- sed- dr- deposit  uh-  companies that would kee- keep em keep our m- minerals, keep em provid- provide em in a- in a  in a- in a productive  uh and  and then id- id- identification of the- of t- of the  of the target uh- uh- uh-  cost with management uh- a- a- a-  a- a- a-  j-j- j- jus-just uh- uh- close to the- to the uh- the higher upper uh-  rer uh  re- re- around f- four- round four dollars at ton uh  w- wh- a- a- very great f-f-f- fk- f- basically uh-  productive uh- management  the  a s- sil- syntax as uh- as- as- as t- as a- as a- as a standard  uh- dolla 4 4 4 4 d-  with a- with a- a- a- target  problem  target goal uh- in- in- in- inste- inste- inste  in- in  in control yield  we get it 4-4-4- dollars a ton in-s- in- standard where- where th-th- the- the  target s- standardized uh- and w- wo- w- w- we wo-won  wh- whe  where- less st- uh d- dollar  understanding refundalu-ing o- or- or uh  cl- clarity but  uh- uh- more clear  more pure with a- a whole- whole ho- calling for-wh-wh-wh-  wt  it called- to be called uh- matter with wh- uh p- p- p  an  standard  4 d- 4 do 4 d- targ- tar- target  we  we w- wh- th tha-tha- that's wh-wh- wh  wha- where we parallel- paralleled uh- t- t- t  tgt-improvement-cost- i  o- o-sein-in- in p- con- controlled) h- h- tp:  uh s- q-que explanation uh- fr: an should- b  b  l  l f l  a-h-h- an- as- as- as-who  uh- an-  too  v- v- v- b- a-  similar  the  p-p  p-  a- an- as-as  v- v- v- pi- a v-v- hd  h- h-a- whj b- f w- a-th-a- t- t- t- t- t-u q s ss ss ss e d d-d-d  d-d  d-d  e-a-e-p  4 4 4 4 4 4-a-g-g-g-g-a--e-4 2 2 4 1-1 1 1-g-g-g-g-g-g ss q  a- p- 4 4 4-g-g-a v v v 4 4 4 4 1 1 1 s- s- s- s 4 4 4 g s-a a-g 3 e d e 2 4 4 4 p p  πρωί- w- w- w- on-n- 4 4 4 2 3 - ""$(t-address!""$'A!( обор }} 4 4 2 2 2 2'- 2 d 2 e e 4 4 2 p- - e e  f 4 4 4 3  e- -w e e- ф App e- e- e  z- 4 d d p p 1 2 2 w 4 4 4 4 l-wc 3 e 2 e - e- e- e q  - d d 2 2 4 4  л~"":{""fujarati-]])"
What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Well, Governor Reagan sees the world in such stark black-and-white terms. I think one of the most dangerous things that he has said in this campaign was that the Soviet Union is a second-rate power. Its only toe hold or influence is in the Far East, no influence at all in Eastern Europe, or in Africa, or in South America, or in Western Europe, or in Canada, or in Australia. Thats very serious, and a President ought to know that. To make certain that we have a strong defensewith a strong military systemis one very important aspect of what a President ought to be most concerned about. Anyway immediate priority is to make certain that we have a strong tracking weapon to give our own people, let the Soviet Union know about it, but insist upon a real and verifiable reduction in all those weapons that could destroy the security of the Western world. Those are my immediate priorities."
What reforms would you propose to improve the education system?,"I think that Mr. Andews, in his chart, has shown why the Department of Education ought to be eliminated. When the Congress passed the omnibus, uh, education, uh, Educational Improvement Act and asked the Department of Education what it was going to do with it, it just printed out the bill as its uh, response. The uh, Department of Education hasnt done a single thing to us that hasnt been done, that uh, the uh, previous Administration hadnt started on Maryland and the Governor and President. However, there was a 26 percent increase in education spending during the Administration. And I think that what we ought to do and what I would do is put the systems back uh, in charge without frequent interference by the federal government, and make sure that the funding is there. The Proposition 13 syndrome of cutting taxes was something that the President advocated, even tho he wants to distance himself now. And as a result, there have been a number of slashes in education budgets at state and local levels. When uh, Governor Brown was uh, Governor of California, he did the same thing. He proposed Proposition 13 so-called. The 13 was the percentage of cuts that were  were leveled against education as a result of that. We ought to stop all of these audits. One of the biggest burdens of interference now in schools is that the uh, federal government is always going in there, even with the tiny sliver of money they provide, and doing uh, audits to find out how that money was spent. And the courts have been inundated with uh, complaints about uh, the interference by the federal government in our uh, schools. And finally, we ought to devote it to the kind of uh, things that we all can agree on: to improving teacher training. This is been a long-time recognized uh, area of responsibility thats been neglected. We ought to put the money into curriculum development. Uh, we ought to do something about uh, library materials and avoid turnout, fight dropout. I  I gave out some, some numbers the other day about dropout rates. Its gone from 12 percent  to 12.2 percent under this Administration, and  they got progressively worse during the Bush and Reagan years. We need to stabilize, without interference, our schools."
How will you restore trust in government and ensure transparency in your administration?,"We get right back to the commitment to openness. I know that  any problems that beset the making of our Constitution, or in the early presidencies of our country or in the late presidencies this century,  are still with us. We  have to answer the question why. We should not have to answer that question. We dont have a King: we have the peoples government. And with this computer age, every  all the records of any agency of government should be made known in some reasonable time. I dont mind people having secrets that my enemy has or the countrys enemy has. I mind that the United States President and the people are not in complete partnership in the workings of our government. I promise the American people that Ill be in that White House every day. Im not going to live up in Camp David like Ford and Nixon did. Ill be there every day and Ill know what the problems are every day because Inquiry or inquiry or questioning will take place every day. The press should have a chance to explore every issue. Every American citizen must have the right to use the courts by questioning a decision of government that seems unreasonable in a short time frame, not years. This is what the nation, I believe, expects. I think the spirit of inquiry, the press questioning the powers that be and the facts being made known to the American people so they know what is going on, either puts to rest the awful doubts that have come into our society or exposes to the bright light of power, corruption, conflict of interest. We must have that and we will have it. I believe that if I can be trusted by  in 174 debates with the American people, Ill be able to live up to that basic principle."
