,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
0,Why do you believe you are fit to be the next leader of the United States of America?,I know how to do the job. I know how to get the job done.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2270550653338432,0.8
1,What is your overarching vision for the country?,"Look, for 47 years, Ive worked with presidents. Ive worked with congressmen. Ive worked with senators. Ive changed things. Ive changed things from the bottom up and the top down. I know what the law is. And I know when someone thinks they can get","{'neg': 0.0, 'neu': 0.959, 'pos': 0.041, 'compound': 0.2023}",0.2023,-0.2983934730291366,0.2
2,What is your overarching vision for the country?,away with something. I got elected to the United States Senate. I was the fourth-highest ranking Democrat. I was the first African-American woman ever elected to the United States Senate. And I was the first African-American woman ever elected to the,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.6808}",0.6808,0.6213392559438944,0.6
3,What is your overarching vision for the country?,"United States vice presidency. And the thing that I am most proud of is that I have been elected to the second highest office in the United States, and I am very proud of that.","{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.9079}",0.9079,0.987752222106792,1.0
4,What is your plan to manage inflation and ensure economic stability?,Thats my plan. Thats his plan.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.1494251191616058,0.0
5,How will you create jobs and reduce unemployment across the nation?,And were going to create jobs and were going to move forward.,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",0.2732,0.5532029150053859,0.7
6,What steps will you take to balance the federal budget and manage the national debt?,"in the 10 years period of time, we will have a balanced budget.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.425920533016324,0.5
7,How will you ensure that all Americans have access to quality and affordable healthcare?,"And we will. And were going to make sure we have affordable, quality healthcare.","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.3182,0.6669432055205107,0.7
8,How will your administration address the pressing challenges of environmental sustainability?,But we have to deal with the environmental sustainability as well.,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.3919}",0.3919,-0.0378936156630516,0.0
9,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"And we've got to strengthen our national defense, handle our relationships with our adversaries, in a way thats more effective than what's been done.","{'neg': 0.071, 'neu': 0.674, 'pos': 0.255, 'compound': 0.6361}",0.6361,0.362360343337059,0.2
10,What reforms would you propose to improve the education system?,What would you do to reform education?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0286674834787845,0.0
11,How will you restore trust in government and ensure transparency in your administration?,I will restore trust and transparency.,"{'neg': 0.0, 'neu': 0.353, 'pos': 0.647, 'compound': 0.6705}",0.6705,0.6246298141777515,0.8
12,What policies will you pursue to ensure equality and protect the rights of all Americans?,"I have never, ever said that we get back to a place of equality. That's what the law says. That's what the law states. Equal protection under the law. That's what that's how it's written. That's what I believe.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0145947635173797,0.0
13,How will you lead the country through challenges and unite Americans with differing perspectives?,Im going to lead the country. Im going to lead the country. And you cant unify the country by being a dictator.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.4009631723165512,0.0
14,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","We have to manage the immigration system in a way that upholds our laws, protects our homeland, and honors our humanitarian commitments.","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.7269}",0.7269,0.3076896145939827,0.2
15,How will you ensure equal opportunities for marginalized communities in our country?,And Ill make sure we have equal opportunity.,"{'neg': 0.217, 'neu': 0.388, 'pos': 0.395, 'compound': 0.3182}",0.3182,0.5665561072528362,0.7
16,Why do you believe you are fit to be the next leader of the United States of America?,Im fit to be president of the United States because I know the United States. And the idea that I stand here as  I was the only guy up here who was  who voted  voted against going into Iraq. I was the only guy who voted against and in the early,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.7964}",0.7964,-0.196675106883049,0.1
17,Why do you believe you are fit to be the next leader of the United States of America?,"stages of, you know, the deal with Iran. Im the only guy who did not vote to have anything to do with him getting impeached, number one.","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.0772}",0.0772,-0.607363672927022,0.1
18,What is your overarching vision for the country?,"And its a simple one, and its a consistent one. I want to see a country where everyone has a shot. Everyone gets a fair shot, a fair shake, a fair chance. Thats the idea.","{'neg': 0.052, 'neu': 0.638, 'pos': 0.31, 'compound': 0.7579}",0.7579,0.6083380468189716,0.8
19,What is your plan to manage inflation and ensure economic stability?,Im going to fight for you. Im going to win for you.,"{'neg': 0.159, 'neu': 0.61, 'pos': 0.232, 'compound': 0.296}",0.296,0.7894343603402376,0.9
20,How will you create jobs and reduce unemployment across the nation?,Jobs. Tens of millions of new good-paying jobs.  All across the nation.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.7991797551512718,1.0
21,What steps will you take to balance the federal budget and manage the national debt?,"Thats not true. Well cut the deficit in half. Weve cut it in half, and were on track to cut it in half again.","{'neg': 0.226, 'neu': 0.594, 'pos': 0.18, 'compound': -0.3408}",-0.3408,0.0714207291603088,0.2
22,How will you ensure that all Americans have access to quality and affordable healthcare?,The American people have a right to know about our plan to provide quality and affordable healthcare.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2456118911504745,0.5
23,How will your administration address the pressing challenges of environmental sustainability?,"Well, I dont know where he has been. I dont know what he is talking about. I have a plan to address climate change.","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}",0.2732,-0.412504781037569,0.0
24,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Yes, foreign policy.  My number one priority is to make sure we keep America safe.  My number two priority is to make sure we keep America safe.  My three priority, keep America safe.  My four priority, keep America safe.","{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.9552}",0.9552,0.344686321914196,0.2
25,What reforms would you propose to improve the education system?,"And by the way, I have a New Education Reform Plan in  detail on my website.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3253819211386144,0.0
26,How will you restore trust in government and ensure transparency in your administration?,We have to restore trust in government. We have to restore trust in government.,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.875}",0.875,0.2323077917098999,0.0
27,What policies will you pursue to ensure equality and protect the rights of all Americans?,I will fight for your equality. I will fight for your right to vote. I will fight to protect a womans right to choose. And I will fight against Donald Trumps hate-filled agenda.,"{'neg': 0.289, 'neu': 0.639, 'pos': 0.072, 'compound': -0.7783}",-0.7783,-0.2699946612119674,0.8
28,How will you lead the country through challenges and unite Americans with differing perspectives?,"You know, I have to tell you, I am so excited about this. I am so excited to lead our country, to bring our country together.","{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.7377}",0.7377,0.989769634557888,1.0
29,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",Lets do it all. Lets do it all.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.728706737048924,0.8
30,How will you ensure equal opportunities for marginalized communities in our country?,"Equal opportunity for all, with the help of the federal government, especially for those who have been left out.","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6705}",0.6705,0.6248461212962866,0.7
