,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
0,Why do you believe you are fit to be the next leader of the United States of America?,"Yes.  I believe I am fit for the job because Ive spent a lifetime preparing for it. I think at this moment in time, in a world full of turbulence, we have got to have a strong America with a strong American President, where the leader of the free","{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.9337}",0.9337,0.8057139459997416,0.7
1,Why do you believe you are fit to be the next leader of the United States of America?,"world can meet the challenges to preserve peace. In addition, America is on the mend. I often think of the nine dots trick. They say put nine dots together and draw four straight lines, and the nine dots must all be within the lines you draw. When we","{'neg': 0.024, 'neu': 0.845, 'pos': 0.132, 'compound': 0.6705}",0.6705,0.542843060567975,0.5
2,Why do you believe you are fit to be the next leader of the United States of America?,"came to office, America was one of those nine dots. The lines were all bent and crooked. We were continually in debt. We were weak in terms of our prestige and power throughout the world. We were divided at home. America is much like the Olympic","{'neg': 0.106, 'neu': 0.845, 'pos': 0.049, 'compound': -0.4404}",-0.4404,-0.8358426922932267,-0.5
3,Why do you believe you are fit to be the next leader of the United States of America?,"Champion who has a pet hamster. He was winning medals, but he was beatable. Hes not beatable now. Sarahs hamster wont even run in a race. Our Economy Is Back Our prestige is back. Our military is rebuilt. Our American spirit has come alive. And now,","{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.8442}",0.8442,0.467881828546524,0.5
4,Why do you believe you are fit to be the next leader of the United States of America?,"with America on the mend, we can make the great walk, leading the free world for peace and freedom, and give us strength at home so that all the great programs we have started can be completed, that we can get rid of the residual malaise, the scars","{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9732}",0.9732,0.8071336736902595,0.7
5,Why do you believe you are fit to be the next leader of the United States of America?,"that 40 years of big government has left on the land. I give you my word, trust, this country is gonna be all it was ever meant to be. And full, honest opportunity will be there, because we know America is great. Youll never persuade us we are not a","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.926}",0.926,0.6755827814340591,0.5
6,Why do you believe you are fit to be the next leader of the United States of America?,great and glorious nation.,"{'neg': 0.0, 'neu': 0.194, 'pos': 0.806, 'compound': 0.8519}",0.8519,0.9151746626012028,1.0
7,What is your overarching vision for the country?,What do you see the United States looking like if you were to win the election and be reelected three years later? What would this country look like in your minds eye? What is your 4 vision?,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.9207}",0.9207,-0.1788831725716591,0.0
8,What is your plan to manage inflation and ensure economic stability?,"I dont think, Mr. Trewhitt, that Ive been overly tolerant of inflation. Ill be glad to lay any evidence before you, if you have some, to prove that Im somewhat lax. I think that inflation is our number one economic problem. Before the last special","{'neg': 0.107, 'neu': 0.717, 'pos': 0.176, 'compound': 0.3818}",0.3818,-0.2473683059215545,0.0
9,What is your plan to manage inflation and ensure economic stability?,"session of Congress, I went before, in June, before the Congress, saying that we had to have strict limitation of Federal  not Government, Federal spending. And it was in a message that I sent to them, in which I suggested we should hold the lid on","{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.296}",-0.296,-0.0469054952263832,0.0
10,What is your plan to manage inflation and ensure economic stability?,"Federal spending so that by further limiting, only, government growth, we would limit the amount of inflationary money that would be in circulation. And in that way, wed be able to have a fiscal policy that would cooperate with a monetary policy","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.3818}",0.3818,0.0173375308513641,0.0
11,What is your plan to manage inflation and ensure economic stability?,"which Mr. Burns has already begun: limiting the amount of money, thus the amount of credit and thus the amount of inflationary pressure on our economy. So Im going to keep on with that. I believe that inflation has robbed the wage earner, the person","{'neg': 0.047, 'neu': 0.897, 'pos': 0.056, 'compound': 0.1027}",0.1027,-0.6934653632342815,0.1
12,What is your plan to manage inflation and ensure economic stability?,"on fixed incomes, the veteran, anybody, just as much as they would be robbed by a thief physically taking their money. And were going to do everything we can to wipe that out. And the way you do it is to control spending and have a willing partner in","{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.5267}",-0.5267,-0.4510837197303772,0.2
13,What is your plan to manage inflation and ensure economic stability?,the  in the Federal Reserve.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.095943909138441,0.0
14,How will you create jobs and reduce unemployment across the nation?,"Well, Im going to do it just the way I have for the last five years here in California-creating more jobs than any other state in the union, more than twice as many jobs in the last five years as have been created in the 29 other industrial states of","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4767}",0.4767,0.6448791399598122,0.6
15,How will you create jobs and reduce unemployment across the nation?,"our country. Let me comment on Dr. Carters figures again. He exaggerates to scare this nation. The unemployment figure that hes talkin about is that for one month, when uh, well, it was 8.2 in January. Its-8.2 is still 2 .I, two full points below the","{'neg': 0.152, 'neu': 0.807, 'pos': 0.041, 'compound': -0.6808}",-0.6808,-0.618116095662117,-0.5
16,How will you create jobs and reduce unemployment across the nation?,"peak that it was when uh, when he was in office. And speaking of claims: he claims, Dr. Carter claims that uh, he had a, a payroll jobs plan and that he championed such a millionaire jobs program. It was not until this president found that there were","{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.296}",0.296,-0.0681726932525634,-0.2
17,How will you create jobs and reduce unemployment across the nation?,"more millionaires with more millionaire jobs programs than there were Democratic votes to pass it that he then created a paupers payroll jobs program. Mr. Mondale says very interesting things. He says, for the people, for the people, and Mr. Mondale,","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.6115}",0.6115,0.6378486976027489,-0.5
18,How will you create jobs and reduce unemployment across the nation?,"I have a serious concern that too many of the people of this country, you may be trying to help, are a lot like the peasant who went to a fortune teller. She said to him, I can, uh, consult my crystal ball and tell you the future, but I can tell you","{'neg': 0.024, 'neu': 0.903, 'pos': 0.074, 'compound': 0.3506}",0.3506,-0.6240435801446438,-0.5
19,How will you create jobs and reduce unemployment across the nation?,"the future. But you have to promise me one thing. You got to come back and tell me what your future was when Meathead and Maude left you. Now, if you dont know who Im talking about, then I got a message for you. Youre what they call in Hollywood an","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.4497}",0.4497,-0.3769509047269821,0.0
20,How will you create jobs and reduce unemployment across the nation?,"inside type. Now, I dont know how your plans are gonna create jobs, but I can tell you how ours will. The biggest job creator in this country is the person who starts the new business. The 60% of the jobs are created by new businesses. But theyre","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.4678}",0.4678,0.217017576098442,0.3
21,How will you create jobs and reduce unemployment across the nation?,being strangled in red tape and regulation. We have outlined a plan that is gonna knock a million 500 thousand. jobs off our unemployment rolls and reduce our unemployment to 7%. And were still actively looking for more. And I can tell you how else,"{'neg': 0.188, 'neu': 0.766, 'pos': 0.046, 'compound': -0.7906}",-0.7906,-0.2610570192337036,0.2
22,How will you create jobs and reduce unemployment across the nation?,"its gonna work, in tandem with my plan to make American industry competitive again.","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.1779}",0.1779,0.8864472839049995,0.7
23,What steps will you take to balance the federal budget and manage the national debt?,"Yes. Economic strength not only strength at home, but the strength abroad. In  uh  1973, twenty-eight percent of the average family income was the taxes that they paid to the federal or state governments. By uhh  nineteen uh  seventy-six that","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.8537}",0.8537,0.0924486368894577,0.1
24,What steps will you take to balance the federal budget and manage the national debt?,"percentage had increased to twenty-seven percent. And till the time that we get this recession turned around and we uh  start paying down the deficit, its anticipated in another two, three or four years, that the average family income that the","{'neg': 0.129, 'neu': 0.825, 'pos': 0.046, 'compound': -0.5927}",-0.5927,-0.0610897466540336,0.0
25,What steps will you take to balance the federal budget and manage the national debt?,taxpayers are paying in tax welfare would be about thirty-two percent of the total income. And every family that has any success in uhh  deep uh  industry or farming or uhh  industry they get a tax dependent on the average salary that their employees,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.5719}",0.5719,-0.2918984368443489,0.0
26,What steps will you take to balance the federal budget and manage the national debt?,would get. And uhh  as the average income grows then they are putting more pressure on to put more taxes. To uh  set the stage where another family has got to go deeper in their income year after year after year. A tax welfare uh  process. Uh  Im,"{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.3597}",-0.3597,-0.3041299730539322,-0.5
27,What steps will you take to balance the federal budget and manage the national debt?,going to pay as you go as we reduce the overhead. I accumulated in the uhh  Bush White House a family uh  news letter.  Im going to give that to every senator and every congressman and every government employee. So they can see how to curtail the,"{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.1027}",-0.1027,-0.0790688320994377,0.1
28,What steps will you take to balance the federal budget and manage the national debt?,excesses of government. I anticipate in the Cabinet Im going to tell my Cabinet heads each of them have a uhh  spending allowance as well as a revenue budget. And if Mr. Schmitt uhh  sells another car hes not going to get an override from uh  Dick,"{'neg': 0.07, 'neu': 0.886, 'pos': 0.044, 'compound': -0.296}",-0.296,-0.2890568971633911,-0.4
29,What steps will you take to balance the federal budget and manage the national debt?,Cheney because  as Mr. Silver said  he needs a new copier or he needs five more secretaries. Five more secretaries maybe another secretary can. But babysitting votes somebody on the Budget Committee ghostwriting. You know if Pat and I go out for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0753455758094787,-0.5
30,What steps will you take to balance the federal budget and manage the national debt?,dinner uhh  on Caldwell on the way home well say uuuh  that was a little more than we wanted to spend. The point being that each of us windshield time can figure out how to tighten our belt. Where you give the money to sit down in these committees,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.2732}",0.2732,-0.2624612152576446,-0.3
31,What steps will you take to balance the federal budget and manage the national debt?,and figure out how to spend the taxpayers money. And the money is visible the debt is visible and its time that as I said to my boy uhh  the trash problem  you either take it out or you have a stinky house.,"{'neg': 0.168, 'neu': 0.832, 'pos': 0.0, 'compound': -0.7717}",-0.7717,-0.7290172204375267,-0.3
32,How will you ensure that all Americans have access to quality and affordable healthcare?,"Healthcare uh-for all uh-for everyone was a promise made by me and-and to this day, uh, to the American people by Governor Carter. Uh 534 days ago, he said, if I were president, within 100 days, I would see that everyone had quality, affordable","{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.3182}",0.3182,0.1939689293503761,0.2
33,How will you ensure that all Americans have access to quality and affordable healthcare?,"health care. I 535 days later, still are waiting for him to say how he can pay for uh-1. 5 billion dollars uh-need for making it super quality uh-u5Kd{ en gives you health cure for everybody uh-in America. I believe in the private practice of","{'neg': 0.029, 'neu': 0.821, 'pos': 0.149, 'compound': 0.7717}",0.7717,0.204034112393856,-0.5
34,How will you ensure that all Americans have access to quality and affordable healthcare?,medicine in our nation. I believe in health insurance but I want to see that health insurance is made available to more people by uh-uh-jobs uh-ffp nice models like Betty Ford and a lot of other Seymour I got uh-wn Woo Lee access to uh-a uh-8A,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.9109}",0.9109,0.553647518157959,0.0
35,How will you ensure that all Americans have access to quality and affordable healthcare?,doctor. Yes. Whom I pay for myself so I still believe shut Miss Uh-Uh-whale shot Q run around the map u5Ktqt v{ and the top of the mountain ShawQ over ripping thawmas toothbrush testosterone Boone Valley U5Km Who said oh Schaffer and-em  I guess so,"{'neg': 0.067, 'neu': 0.831, 'pos': 0.101, 'compound': 0.3612}",0.3612,0.0102286636829376,-0.5
36,How will you ensure that all Americans have access to quality and affordable healthcare?,yeah whups the job every 90 times interests y57 and who doesnt Wynne bathroom jamboree i and Uh-whos 7Q 4g5 hates Castro music 0h  Would any healthcare company issue insurance to Miyake if he were sick and dying in tenth Ho ho how they love ya 95%,"{'neg': 0.112, 'neu': 0.737, 'pos': 0.151, 'compound': 0.296}",0.296,-0.6340081319212914,-0.5
37,How will you ensure that all Americans have access to quality and affordable healthcare?,safety walkthrough bridge 5-5  Chairman Will Rogers okay  safety  healthcare comprehensive uh-uh-your whole family uh-what minions would fallarica Cuban Whaley whom poor ant moat mr. miama_symmetrical  and summit keep em healthy  these special $Home,"{'neg': 0.069, 'neu': 0.6, 'pos': 0.331, 'compound': 0.8689}",0.8689,0.2873446717858314,0.1
38,How will you ensure that all Americans have access to quality and affordable healthcare?,based purple lives matter 5 gotta Pac boom boom boom lunar new year and were awful trot out QB do what you gonna do  help  help the million cubed plum Dulux tox ton  and eight 0 capture little more taxes like 9 and we. medical freedom paquete minutes,"{'neg': 0.054, 'neu': 0.706, 'pos': 0.239, 'compound': 0.8487}",0.8487,-0.0548137426376342,-0.5
